FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB;;;FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB;;;FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB
SEQUENTIAL;2;20;10;4000;0;0.095518;1;;;MIXED;2;20;10;4000;0;0.095399;1;;;RANDOM;2;20;10;4000;0;0.093768;1
SEQUENTIAL;2;20;10;4000;0;0.092120;1;;;MIXED;2;20;10;4000;0;0.093741;1;;;RANDOM;2;20;10;4000;0;0.089259;1
SEQUENTIAL;2;20;10;4000;0;0.102930;1;;;MIXED;2;20;10;4000;0;0.101906;1;;;RANDOM;2;20;10;4000;0;0.092138;1
SEQUENTIAL;2;20;10;4000;0;0.097405;1;;;MIXED;2;20;10;4000;0;0.097003;1;;;RANDOM;2;20;10;4000;0;0.096542;1
SEQUENTIAL;2;20;10;4000;2835;0.094567;0.8;;;MIXED;2;20;10;4000;1118;0.102456;0.8;;;RANDOM;2;20;10;4000;1364;0.109752;0.8
SEQUENTIAL;2;20;10;4000;974;0.093585;0.8;;;MIXED;2;20;10;4000;683;0.100611;0.8;;;RANDOM;2;20;10;4000;155;0.094361;0.8
SEQUENTIAL;2;20;10;4000;1095;0.091950;0.8;;;MIXED;2;20;10;4000;616;0.096514;0.8;;;RANDOM;2;20;10;4000;1129;0.113345;0.8
SEQUENTIAL;2;20;10;4000;2445;0.096585;0.8;;;MIXED;2;20;10;4000;586;0.098263;0.8;;;RANDOM;2;20;10;4000;1357;0.102181;0.8
SEQUENTIAL;2;20;10;4000;1414;0.089474;0.8;;;MIXED;2;20;10;4000;898;0.098959;0.8;;;RANDOM;2;20;10;4000;307;0.094315;0.8
SEQUENTIAL;2;20;10;4000;509;0.086789;0.8;;;MIXED;2;20;10;4000;845;0.100126;0.8;;;RANDOM;2;20;10;4000;535;0.095606;0.8
SEQUENTIAL;2;20;10;4000;1441;0.089377;0.8;;;MIXED;2;20;10;4000;748;0.094378;0.8;;;RANDOM;2;20;10;4000;669;0.097234;0.8
SEQUENTIAL;2;20;10;4000;939;0.091642;0.8;;;MIXED;2;20;10;4000;650;0.098339;0.8;;;RANDOM;2;20;10;4000;881;0.096898;0.8
SEQUENTIAL;2;20;10;4000;475;0.086974;0.8;;;MIXED;2;20;10;4000;798;0.100166;0.8;;;RANDOM;2;20;10;4000;726;0.108907;0.8
SEQUENTIAL;2;20;10;4000;2739;0.095787;0.8;;;MIXED;2;20;10;4000;927;0.098691;0.8;;;RANDOM;2;20;10;4000;471;0.094205;0.8
SEQUENTIAL;2;20;10;4000;1244;0.090864;0.6;;;MIXED;2;20;10;4000;1381;0.099148;0.6;;;RANDOM;2;20;10;4000;820;0.091608;0.6
SEQUENTIAL;2;20;10;4000;41;0.086627;0.6;;;MIXED;2;20;10;4000;1065;0.094632;0.6;;;RANDOM;2;20;10;4000;924;0.094998;0.6
SEQUENTIAL;2;20;10;4000;139;0.094226;0.6;;;MIXED;2;20;10;4000;1007;0.108785;0.6;;;RANDOM;2;20;10;4000;972;0.098408;0.6
SEQUENTIAL;2;20;10;4000;2359;0.091833;0.6;;;MIXED;2;20;10;4000;510;0.093438;0.6;;;RANDOM;2;20;10;4000;836;0.096055;0.6
SEQUENTIAL;2;20;10;4000;1232;0.088749;0.6;;;MIXED;2;20;10;4000;1097;0.097077;0.6;;;RANDOM;2;20;10;4000;789;0.089939;0.6
SEQUENTIAL;2;20;10;4000;2514;0.092764;0.6;;;MIXED;2;20;10;4000;1203;0.098549;0.6;;;RANDOM;2;20;10;4000;1146;0.095412;0.6
SEQUENTIAL;2;20;10;4000;133;0.088672;0.6;;;MIXED;2;20;10;4000;1652;0.101701;0.6;;;RANDOM;2;20;10;4000;268;0.097004;0.6
SEQUENTIAL;2;20;10;4000;666;0.093814;0.6;;;MIXED;2;20;10;4000;1739;0.100099;0.6;;;RANDOM;2;20;10;4000;680;0.092760;0.6
SEQUENTIAL;2;20;10;4000;2129;0.093011;0.6;;;MIXED;2;20;10;4000;845;0.093601;0.6;;;RANDOM;2;20;10;4000;592;0.094437;0.6
SEQUENTIAL;2;20;10;4000;1624;0.087989;0.6;;;MIXED;2;20;10;4000;845;0.089598;0.6;;;RANDOM;2;20;10;4000;828;0.094884;0.6
SEQUENTIAL;2;20;10;4000;62;0.092149;0.4;;;MIXED;2;20;10;4000;2623;0.106899;0.4;;;RANDOM;2;20;10;4000;2659;0.093555;0.4
SEQUENTIAL;2;20;10;4000;5973;0.102283;0.4;;;MIXED;2;20;10;4000;1553;0.101513;0.4;;;RANDOM;2;20;10;4000;1753;0.094727;0.4
SEQUENTIAL;2;20;10;4000;3647;0.094730;0.4;;;MIXED;2;20;10;4000;2265;0.102673;0.4;;;RANDOM;2;20;10;4000;830;0.097934;0.4
SEQUENTIAL;2;20;10;4000;6691;0.095597;0.4;;;MIXED;2;20;10;4000;565;0.095853;0.4;;;RANDOM;2;20;10;4000;1123;0.095593;0.4
SEQUENTIAL;2;20;10;4000;7349;0.096027;0.4;;;MIXED;2;20;10;4000;1587;0.102946;0.4;;;RANDOM;2;20;10;4000;390;0.096761;0.4
SEQUENTIAL;2;20;10;4000;2982;0.092872;0.4;;;MIXED;2;20;10;4000;757;0.089349;0.4;;;RANDOM;2;20;10;4000;1658;0.099444;0.4
SEQUENTIAL;2;20;10;4000;1629;0.096776;0.4;;;MIXED;2;20;10;4000;1841;0.104959;0.4;;;RANDOM;2;20;10;4000;1078;0.096273;0.4
SEQUENTIAL;2;20;10;4000;2942;0.091495;0.4;;;MIXED;2;20;10;4000;2090;0.100206;0.4;;;RANDOM;2;20;10;4000;1552;0.102545;0.4
